Share of modern renewables in total final energy consumption (%);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brazil;41,38;40,66;40,57;41,24;41,9;40,59;39,39;38,75;38,94;39,09;37,68;36,14;37,31;39,42;39,72;40,65;41,34;42,43;42,5;44,35;42,82;41,8;40,16;39,45;38,69;40,44;42,38;42,13;43,33;44,08;46,45;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
British Virgin Islands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,19;0,19;0,24;0,3;0,29;0,29;0,23;0,22;0,22;0,38;0,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brunei Darussalam;0,67;0,43;0,21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bulgaria;1,81;2,18;2,59;2,38;2,28;3,03;3,53;3,76;5,83;6,58;7,97;7,24;8,7;9,16;9,55;9,83;9,96;8,85;9,94;11,62;14,27;13,22;15,63;18,24;17,15;17,85;17,71;17,11;19,59;19,32;21,08;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Burkina Faso;1,34;1,17;1,22;1,54;1,69;1,68;1,57;1,54;1,43;1,53;1,37;1,39;1,59;1,63;1,64;1,29;1,14;1,09;1,09;1,07;1,12;1,01;0,99;1,04;0,69;0,65;0,82;0,75;0,81;1,27;1,32;1,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Burundi;1,01;1,43;1,16;1,18;1,31;1,23;1,13;1,14;2,18;1,9;1,87;1,72;1,63;1,74;1,75;1,79;1,63;1,96;1,82;1,76;1,97;2,05;2,25;2,22;1,99;2,07;2,09;1,67;1,71;1,63;1,93;1,77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cabo Verde;0;0;0;0,21;0,53;0,55;0,57;0,56;0,57;0,5;0,49;0,34;0,3;0,27;0,31;0,31;0,3;0,27;0,24;0,19;0,43;0,93;2,63;3,66;3,14;3,74;3,63;3,24;3,56;3,31;3,01;3,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cambodia;..;..;..;..;..;16,87;16,75;16,6;19,3;19,32;19,35;19,17;18,29;18,21;19,67;19,49;19,41;18,8;18,83;16,57;16,04;16,09;18,48;20,53;21,36;20,94;21,31;21,35;24,92;23,43;22,76;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cameroon;17,95;18,05;18,31;18,17;17,66;17,32;17,49;17,57;17,45;17,9;17,52;17,47;8,86;9,06;9,55;9,47;11,77;12,42;12,83;12,2;12,51;13,97;15,63;16,36;17,21;18,83;19,17;19,4;19,12;19,22;19,29;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada;22,53;22,67;22,38;22,26;22,13;22,39;22,02;21,78;21,98;22,18;22,04;21,53;21,77;21,18;21,58;21,26;21,18;21,26;21,3;21,94;21,13;21,17;21,44;21,84;21,83;21,83;21,62;22,35;21,92;22,47;23,85;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
